what,kind,bundleId,bundleVersion,description,time
started,bundle,net.sf.eclipsecs.core,5.1.0.201002232103,"net.sf.eclipsecs.core",1295856174374
started,bundle,net.sf.eclipsecs.ui,5.1.0.201002232103,"net.sf.eclipsecs.ui",1295856174374
os,sysinfo,,,"win32",1295856174377
arch,sysinfo,,,"x86",1295856174377
ws,sysinfo,,,"win32",1295856174377
locale,sysinfo,,,"en_US",1295856174377
processors,sysinfo,,,"2",1295856174377
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1295856174377
java.runtime.version,sysinfo,,,"1.6.0_17-b04",1295856174377
java.specification.name,sysinfo,,,"Java Platform API Specification",1295856174377
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295856174377
java.specification.version,sysinfo,,,"1.6",1295856174377
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1295856174377
java.version,sysinfo,,,"1.6.0_17",1295856174377
java.vm.info,sysinfo,,,"mixed mode, sharing",1295856174377
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1295856174377
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1295856174377
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1295856174377
java.vm.specification.version,sysinfo,,,"1.0",1295856174377
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1295856174377
java.vm.version,sysinfo,,,"14.3-b01",1295856174377
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1295856174812
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1295856174829
closed,view,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.internal.introview",1295856174850
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1295856176378
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1295856177404
closed,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1295856177456
started,bundle,org.eclipse.core.filesystem,1.2.0.v20090507,"org.eclipse.core.filesystem",1295856177538
stopped,bundle,com.collabnet.subversion.merge,1.10.0,"com.collabnet.subversion.merge",1295856177617
stopped,bundle,com.yourkit.profiler,9.0.5.9068,"com.yourkit.profiler",1295856177617
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.405.v200905022002,"org.eclipse.jst.server.generic.ui",1295856177618
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.506.v20090817,"org.eclipse.jst.server.generic.core",1295856177619
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1295856177620
stopped,bundle,org.eclipse.mylyn.pde.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.pde.ui",1295856177622
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.101.v20090820,"org.eclipse.pde.api.tools.ui",1295856177623
stopped,bundle,org.eclipse.pde.ui,3.5.1.v201001121200,"org.eclipse.pde.ui",1295856177623
stopped,bundle,org.eclipse.ant.ui,3.4.2.v20091204_r352,"org.eclipse.ant.ui",1295856177630
stopped,bundle,org.eclipse.compare.win32,1.0.0.I20090430-0408,"org.eclipse.compare.win32",1295856177631
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.102.v20090424,"org.eclipse.jst.server.tomcat.ui",1295856177632
stopped,bundle,org.eclipse.jst.server.ui,1.1.0.v20090421,"org.eclipse.jst.server.ui",1295856177633
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1295856177634
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1295856177637
stopped,bundle,org.eclipse.jdt.junit,3.5.2.r352_v20100113-0800,"org.eclipse.jdt.junit",1295856177643
stopped,bundle,com.mountainminds.eclemma.ui,1.5.0,"com.mountainminds.eclemma.ui",1295856177643
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1295856187996
started,bundle,org.eclipse.osgi,3.5.1.R35x_v20090827,"org.eclipse.osgi",1295856187997
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.101.R35x_v20090807-1100,"org.eclipse.equinox.simpleconfigurator",1295856187998
started,bundle,com.ibm.icu,4.0.1.v20090822,"com.ibm.icu",1295856187999
started,bundle,com.yourkit.profiler,9.0.5.9068,"com.yourkit.profiler",1295856187999
started,bundle,org.eclipse.core.contenttype,3.4.1.R35x_v20090826-0451,"org.eclipse.core.contenttype",1295856188000
started,bundle,org.eclipse.core.databinding.observable,1.2.0.M20090902-0800,"org.eclipse.core.databinding.observable",1295856188001
started,bundle,org.eclipse.core.expressions,3.4.100.v20090429-1800,"org.eclipse.core.expressions",1295856188002
started,bundle,org.eclipse.core.filebuffers,3.5.0.v20090526-2000,"org.eclipse.core.filebuffers",1295856188002
